title,genres,year
Le tortillard,Classic|Romance,1997
WKYA  drop ,Folk|Classic,2001
TerA ?slintu,Jazz|Hate|Folk|Musical,1997
Now's The Time To Fall In Love,Documentary,1997
Grim Prospects  Gross Prospects   Bad Trip Remix ,Love|Classic|War,1997
Mangos,Base|Classic|HeavyMetal,1961
A Distant Voice,Love|Jazz|Folk|Base,1997
Openbare Weg,Classic|Bass,2006
President Johnson,Documentary,2000
Lead Me Lord,Base|Classic,1995
Spontanous Combustion,Folk|Romance,1997
Choro,Folk,1997
Ma Louise,Classic,1997
I Want You  Forever ,Folk|Romance,1991
Hate,Classic|Bass|Romance,1997
I Can't Stop Loving You,Folk,2005
Thank You Lord,Jazz|Hate|Rock,1985
How Can You Call That Beautiful  Stewkey Vocal ,Documentary,1997
Cheatin' In The Next Room,Folk|Romance,1997
Candy Man,HeavyMetal,1971
I See The Boys Of Summer,Folk,1997
Three Is a Crowd,Documentary,1997
On Bended Knee,Classic|Romance,1994
My Four Reasons,Folk,1997
Little Girl  LP Version ,Folk,1971
Eternamente Amame,Love|Romance,1997
Niev nietch nievitch,Jazz|Hate,1999
Come Over,Classic,1997
Blue Taxi,Classic,1997
I Want Love  Tween You & Me   Album Version ,Base|Classic|HeavyMetal,1997
White Feather,Jazz|Classic|IMAX,2009
Christlike Roche,Love|Classic|Romance|War,1995
You Rascal You,Classic|Solo,1997
Sympathy,Love|Jazz|Folk|Base,1997
They Say  Album ,Classic,2007
Simon's Folly,Jazz|Classic|War,1997
Crawl Before You Ball  Album Version ,Folk|Classic,1999
Medicate Myself,Folk|War,2001
Biding Her Time,Jazz|Hate,1990
More And More   LP Version ,Base|Classic|Bass,1997
Cowboy Ways,Love|Jazz|Bass|Rap-Comb,1997
Brasas Vivas,Classic|HeavyMetal|War,1997
Kolomeyke,Documentary,1997
In This Life,Love|Romance|Western,2009
Groovin' In The Midnight,Base|Film|Bass|HeavyMetal,1991
Waiting,Love|Base|HeavyMetal,1997
A'chek Ouyounik  2009 Digital Remaster ,Folk|Base|Classic,1997
Hell,Love|Classic|Romance,2005
Hips Don't Lie  featuring Wyclef Jean ,Jazz|Hate|Classic,1997
Hips Don't Lie  featuring Wyclef Jean ,Love|Jazz|Base|HeavyMetal,1997
I Got Over It  Album Version ,Folk|Classic,1988
One Less Bell To Answer,Love|Rap-Comb|HeavyMetal,1997
Festa,Love|Base|Rap-Comb,1997
Te Hacen Falta Vitaminas,Folk,1984
Sense And Trick,Classic,1997
Fire  Oscar G Space Vocal Mix ,Folk,1997
Hanging On  Medium Key Performance Track Without Background Vocals ,Solo,1997
Grim Prospects  Version 2 Remix ,Folk|Classic,1997
Christmas In Jamaica,Classic|Romance,2001
Gossippo Perpetuo,Folk|Romance,2001
No Control,Folk|Solo|HeavyMetal,1997
The Vitalized Shell,Classic,2010
Mozart,Love|Base|HeavyMetal,1989
Ciao Milan,Folk|Romance,1997
Lend Me Your Chopper,Folk,2004
Letter To Heaven,Rock|Solo|Bass,1971
Heaven is Where The Heart Is,Folk|Rock,1997
Inside Job,HeavyMetal,2006
Take A Look   LP Version ,Classic|Romance,1997
The Czar: Usurper Escape Martyr Spiral  Album Version ,Classic,2009
Bulgarian Dream,Folk|Classic,1997
Amalgama,Folk|Classic|Romance,1997
Born and Raised In Compton,Solo|Rap-Comb,1991
We're Gonna Go Fishin',Love|Base|Classic|Bass|Rap-Comb|HeavyMetal,1997
Robbers Kill Cop,Classic|Musical|Romance,1997
Relax,Classic|Rock,2009
Sweet By And By,Classic|Romance,1997
Orgofart,Folk,1986
Bitch Is Back,Love,1988
Naked Albino,Folk|Classic,1998
Johnny Loves Me  LP Version ,Documentary,1997
Dearly Beloved,Classic|Romance,1997
The Look Of Love,Love|Jazz|Rap-Comb,1997
Cooler Than You,Classic,1998
Taryns Deepest Fear,Western,1997
Summer Dying Fast,Classic,1994
Still,Jazz|Folk|Base|Bass,1997
Snapshot,Classic,1997
End Of The Road  Head Hornys Remix ,Classic|War,1997
The Frail,Folk,1999
Para Milladoiro,Classic|HeavyMetal,2010
Stone Cold Fingers  Bonus Track ,Folk|Classic,1997
Snowball,Classic,2005
 We Don't Need This  Fascist Groove Thang,Solo,1981
Drunk Alone,Classic|Romance,1997
Charisma,Folk,1997
Going Down Slow,Folk|Classic|Romance,2000
All Rise,Classic|HeavyMetal,1997
Jogo Limpo,Love|HeavyMetal,1997
Silent Hill,Folk,2009
Our Love Is Here To Stay,Classic|HeavyMetal,1997
Everything Changes,Classic|HeavyMetal,1997
Master Of Disharmony,Jazz|Folk,1996
 This Is Not A  Love Song  Live ,Folk|Classic|Romance,1983
What Are We Here For,Classic,1997
Une petite pause,Folk,2010
Wig,Folk|Classic,1986
Perasmena Mesanihta,Love|Folk|Romance,1997
God Save the Queen  Live ,Folk|Romance,1988
Forever,Jazz|Hate,1997
Sun Is Shining,Art|Hate|Folk|Romance,2004
New Age,HeavyMetal,1997
Have Yourself A Merry Little Christmas,Hate|Classic,2005
U Killed It,Classic|Musical,2006
Rain And Snow,Hate|Folk|Rock,1997
Gerra De De,Documentary,1997
Kako mi je pitas sad,Base|Classic,1997
Voices On The Corner,Folk,1997
 Bloody Paw On The  Kill Floor,Classic|Romance,2007
I Wish My Mother Was Here,Hate|Folk,1989
Inolvidable,Love,2003
Miracle,Folk|Romance,1996
Witch Weed  Live ,Classic|Solo,1999
Not Buried Deep Enough,Classic,1995
Give Me 40 Acres  To Turn This Rig Around ,Folk,1997
Ernesto Nazareth,Folk|Rap-Comb,1997
The Cube  Live ,Bass|HeavyMetal,2001
Get Back Down,Jazz|Hate|Folk|Rock|Romance,1997
Battle Of The Rosebud   Cries,Base|Classic|HeavyMetal,1997
Beyond the Light,Love|Jazz|Rap-Comb,1997
Spaceman,Classic,2008
Pulecenella 'e mA2,Hate|Classic,1997
Iskorosten'  instr  ,Classic,1997
Big Stax High Volts  Album Version ,Classic|Rock|Romance,1997
It Goes On,Classic|Romance|War|Western,1997
Pecado De Amor,Folk,1997
Illuminate,Classic,2001
Never Forget Me,Classic|Romance,2007
Ukkosenjumalan poika,Classic,2001
Kick Out The Jams,Classic|Solo|Rap-Comb,2000
Me And My Buddy,Folk,1997
Amber Changing,Folk,2003
Murder Academy,Folk|Romance,1995
Hey Daddy,Classic,1999
I Need You Now,Classic,1997
Atmosphere Station,Classic|HeavyMetal,1986
Walk Away,Folk|Classic|Romance,2009
Shadows That Move,Classic,2001
Smile,Base|Classic,2000
Mountains Of Mourne,Love|Base,1997
Kite Live from Sydney,Classic|Solo,2007
Loco  Crazy ,Folk|Romance,1997
Ever Be,Love|Base|HeavyMetal,2007
Oh Look Misery,Folk|Romance,1997
Yesterdays,Base|Classic,1997
Teacher's Pet,Classic|HeavyMetal,1997
Palmer enquAate,Love|Classic|Rap-Comb|HeavyMetal,2004
Go To Hell,Love|Base|Classic|HeavyMetal,1997
Moon River   Original,Folk|Romance,1997
La Plus Bath Des Javas,Folk|Romance,1997
Infidel,Folk|Base|Classic|HeavyMetal,1997
English Summer Rain,Classic,2003
Spanish Shuffle  Album Version ,Classic,1997
Intro,Classic,2009
Empress So Divine,Classic|Romance,2002
Terapia De Amor Intensiva,Classic|Romance,1988
Haunting,Love|HeavyMetal|Western,1997
Lies Of Hate,Folk|Classic,1998
The First Noel,Folk,1997
Musical Episode,Classic,2005
Beautiful Brown eyes,Classic,2001
Drop the Bass,Folk|Classic,1997
The Last Word  Amended Version ,Folk,2000
Hard Times,Solo|HeavyMetal,1984
Just As Much As Ever,Folk,1997
Filipino Baby,Art|Hate,1997
The Boss,Hate|Classic|Rock|Bass,1997
Escapist,Love|Classic|HeavyMetal,2007
Jeffrey's Dark Side,Love|Jazz|Rap-Comb,1987
Someone to Watch Over Me,Folk|Classic|Rock,1997
Milagre Dos Peixes  Musica Incidental: Cais  Music Incidental: San Vicente,Base|Classic,1997
Pinned To The Ground  album version ,Folk|Classic|HeavyMetal,2002
Always And Never  Album Version ,Film|HeavyMetal,2005
Myth Takes,Classic,2007
Carpe PM,Folk|Classic,1997
Who Shot Ya  Amended Album Version ,Folk|Classic,2007
Poor Tom  Album Version ,Folk,1982
Wounded Hearts,Classic,2008
Love's Been Good To Me,Love|Folk|Rap-Comb,1997
When Morning Comes To Town,Solo|HeavyMetal,1989
Estate,Jazz|Classic|Rap-Comb,1997
Freedom Enough  From Silent Mother Nature ,Love|Base|Solo,1997
Hai Shava,Classic,1993
Nutty Block,Solo|Rap-Comb,1991
Until You Love Someone,Folk,2005
Part One From Triomusic,Classic,2004
Hello Young Lovers  LP Version ,Bass|HeavyMetal,1997
Same Man,Classic|War,2006
Quiero Ir Ao Mar,Classic,2005
The Owl and the Pussy cat,Love|Rap-Comb|HeavyMetal,1997
Set You Free This Time,Folk|Romance,1998
Bloco Da Solidao  1996 Digital Remaster ,Jazz|Classic|War,1997
Will You Love Me Tomorrow,Classic,1960
Stille nacht_ heilige nacht,Folk,1997
Nine Ways,Hate,1997
Northern Downpour  Album Version ,Folk,1997
Bad Seed,Folk|Classic,1997
Exchange,Classic|Musical,1995
Marie D'Aquitaine,Classic|Film|Romance,1997
Oh My God,Folk,2000
Joy To The World,Love|Base|Classic|HeavyMetal,1997
Hoochie Coochie Man,Classic|Bass|HeavyMetal,1989
Ftei O Erotas,Folk|Classic|Romance,1997
The Second Summer Of Love,Folk|Classic,1989
Prelude And Fugue In C Major BWV 531 : Fugue,Love|Base|Rock|HeavyMetal,1997
Don't Phunk With My Heart,Classic,1997
Give It What U Got,Hate|Folk|Rock,2007
Dancing To A Standstill,Folk|Classic|Romance|War,1997
Isla del Luna,Folk|Romance,1999
Spirit,Classic,1997
Another Long One,Folk|Classic|Romance,1989
Leng Jing,Love|Folk,1997
OAKtown,Folk|Classic|Romance,1997
Larger Than Life,Jazz|Hate|Romance,1999
I Hold Your Hand In Mine [Live At Royal Albert Hall],Documentary,2000
Baby Come To Me,Jazz|Hate|Classic|Musical|IMAX,1997
Den Pai Alo,Classic,1997
It Wont Be Christmas,Classic|Solo|Bass|HeavyMetal,1997
Knocked Out Of The Park,Love|Folk|Base|Rock,1997
Salt In NYC,Jazz|Folk|Western,1997
Wessex Loses a Bride,Classic,1997
Erica  2005 Digital Remaster ,Love|Folk,1997
Blessed Assurance,Folk|Classic,1993
Loaded Like A Gun,Folk|Classic|Romance,1997
Rumba De Barcelona,HeavyMetal,1997
Clementina SantafA ,Hate|Folk,1997
Wild Rose,Love|HeavyMetal,1997
Kutt Free,Love|Romance|HeavyMetal,1997
Ten Tonne,Folk|Romance,2005
A Higher Place  Album Version ,Love|Rap-Comb|HeavyMetal,1994
Sono andati Fingevo di dormire,Love|Jazz|Folk|Romance|HeavyMetal,1997
Got My Mojo Workin,Classic|Romance,1997
Get Your Head Stuck On Your Neck,Classic|Solo|Romance|HeavyMetal,1997
Jenny Take a Ride,Western,2004
Sonnerie lalaleulA c  hi houuu,Love|Base|Classic,1997
Midnight Star,Classic,1997
Native Soul,Classic,2003
Der Kleine Dompfaff,Love|Folk,1997
A Whiter Shade Of Pale,Classic,1997
The Ballad Of Sleeping Beauty,Classic|Romance|War,1994
Streets On Fire  Explicit Album Version ,Love|Base|Classic,1997
Music is what we love,Base|Classic,1997
City Slickers,Love|Jazz|Rock,2008
Intro,Love|Rock,2003
Harajuku Girls,Classic,2004
Prognosis,Solo|HeavyMetal,2000
Living Hell,Classic,1997
Small World,Base|Classic,1997
Truck Driving Man Down In The Caribbean,Hate|Folk|Rock,1997
Swallow The Knife  Live   Segue ,Classic,2005
Mayday,Folk,1998
Lake Of Dreams,Folk,1998
Because Of You,Folk|HeavyMetal,1999
Un Peu D'Amour Et D'AmitiA c ,Western,1997
Rattlesnake!,Folk|Romance,2008
Disappeared,Classic,1997
DoppelgA ?nger [Qliphothic Phantasmagoria],Folk,2000
Ain't No Love Ain't No Use  Love To Infinity Full Funk Mix ,Love|Folk|Base|HeavyMetal,1997
Ghost Town Rituals  Album Version ,Jazz|Hate|Classic,2006
Morning Glory,HeavyMetal,1997
Rudolph The Red Nosed Reindeer,Love|HeavyMetal,1997
Tomorrow Gone,Classic,2003
I don't Want to Be Alone Tonight,Classic|Romance,1997
Just A Little Lovin'  Will Go A Long Way ,Solo|Rap-Comb|HeavyMetal,1967
Shameless,Classic|Bass|Romance|HeavyMetal,2007
And I Love You So,Classic,1997
L' Envers Du DA c cor,Folk,1999
Quiet Time,Folk|Classic,1993
Little Sister,Base|Classic,1998
Song For Mom  LP Version ,Jazz|Folk|Western,1997
All Over Me,Folk,1997
I Hate You,Love|Jazz|HeavyMetal,1997
From The Blind  LP Version ,Folk|Rap-Comb,2006
Misanthrope,Classic|HeavyMetal,1997
Chains Chains  Live In Hammersmith ,Folk,1997
The Date  Remix By Ana Rago ,Love|Folk|Classic,2002
As My Fire Flies,Folk|Romance,1997
We Wish You A Merry Christmas,Folk,1997
BAPse,Love|Jazz|Rap-Comb,1991
Saturday Night Is The Loneliest Night In The Week,Folk|Romance,1997
A Mi No Me Importa,Folk,1997
BYOB  Explicit Album Version ,Classic|Romance,2007
Le PresbytA re n'a rien perdu de son Charme,Classic,1997
Ven Morena,Folk,2003
Brighton by the Sea,Folk|Classic,1997
CHAOS INTRO,Classic|Bass|Romance,1997
Bloody Pig Pile  Live ,Classic,2002
Hex Breaker,Folk|Romance,2009
The Melting Moon  Edit ,Classic|HeavyMetal,2004
Hawaiian Chimes,Jazz|Hate|Classic,1997
Turn Around,Base|Classic|HeavyMetal,1997
L'accordA c oniste,HeavyMetal,1999
Tumba Tumba,Classic|Western,2000
Why don't you eat where you slept last night ?,Love|Jazz|Base|Classic|Romance|HeavyMetal,1997
Suffocating Under Words Of Sorrow  What Can I Do ,Folk,2005
Im Moving On,Classic|Romance,1997
Deep Night Softly As In A Morning Sunrise  Medley ,Love|Jazz|Base|HeavyMetal,1997
Let Me Show You [I Just Want To Make You Smile],Love|Folk|War,1983
Monster For Music,Folk,1997
Complain,Folk|Romance,2006
Daydreaming [Jakwob Remix],Classic|Romance,2009
Dansende Foran Speilet,Folk,1997
Ease,Folk,1985
Everchanging,Folk|Classic,2001
Too much informa,Folk|War,2005
L'insidieuse  Live ,Love|HeavyMetal,1997
So Hot,Classic,1994
Youlan_ Lonely Orchid  solo guqin ,Folk|Classic,1997
Forbidden Fruit,Classic|Musical,1997
Recorda Me,Folk|Base|Classic,1997
Lady Of Your Calibre,Love|Base|HeavyMetal,1997
Italian For Goodbye  skit ,Love|Jazz|Rap-Comb|HeavyMetal,2004
Anti Geroi,Classic|HeavyMetal,2006
Stronger Than Me,Base|Classic|HeavyMetal,2003
Only For The Young,Jazz|Hate,2009
T'as 16 ans demain,Love|Jazz|Folk|Rock,1997
Serene,Folk,1997
So Jah Seh,Folk|Western,2006
Joy In The Journey  The Final Word Album Version ,Classic|Romance,1997
Chorinho Pra Ele  Live ,Folk,1997
Warrior's Quest,HeavyMetal,1999
Medley LeA la Chico,Classic,1997
The Hustle,Folk|Bass,1995
Rakkauden satu   Histoire d'un Amour  ,Love|Base|Classic,1997
God Bless You  Goddamn it ,Love|Jazz|HeavyMetal,2005
The Illusionist,Classic,2006
La Route Est Belle,Folk|Classic|Romance|HeavyMetal,2005
Urgence,Folk|Romance,2004
Pero Me Acuerdo De TA,Folk|Romance,2000
Trapped In Reality,Folk|Classic,1997
Our Darkest Days,Classic,2006
California Dreamin'  LP Version ,Love|Hate|Romance,1971
Dumb Woman Blues,Love|Classic|Rap-Comb,1997
Letting You Back In,Folk,1997
Hear Me Lord  2001 Digital Remaster ,Classic|Rock|Romance,1997
Don't Let Go,Base|Classic|HeavyMetal,2001
U Don't Hear Me Tho'  Street Mix ,Classic,1993
Lonely Street,Classic|Romance,1963
Undertow,Classic,2008
Courtyard,Solo|Rap-Comb,1968
Have You Ever Seen The Rain,Folk|Bass|Romance,1997
Cry Baby,Folk,1997
Interlude,Classic|Romance,1997
Terra,Folk|Classic,2001
Mother,Love|Classic|Bass,1997
A La Memoria Del Muerto,Folk,2004
Sayin' Dope,Love|Base|Classic|Rap-Comb|HeavyMetal,1995
When The World Is Running Down_ You Make The Best Of What's Still Around,Folk,1997
My Bonnie Lies Over the Ocean,Base|HeavyMetal,1997
Now You Know,Love|Classic,1996
I'm Sitting Here Waiting,Classic,1997
Korrupted   Remix,Classic,1997
Sex Objekt,Classic,1997
Rain   Ekoln,Classic|War,1997
Reason With The Beast,Folk|Classic,2005
As Diehard As They Come  Album Version ,Classic,2006
No Unexpected Guests,Hate|Classic,2002
Walls And Cannonballs  Album ,Folk|Base|Solo,2010
Trouble In The City,Love|Jazz|Rock|Bass,1983
Dark Angel,Classic|Romance,2005
Knocked Up,Classic,2007
Ven Conmigo Perdoname  Live ,Classic,1997
Taste Of Dis  Explicit Version ,Classic,2005
Prvni vesela,Classic,2006
If You'd Only Talk To Me  Bonus Track ,Folk|Classic|Romance,1997
Librado Maldonado,HeavyMetal,1997
Crass Commercialism,Love|Rap-Comb|HeavyMetal,1982
Flores Negras,Folk|Classic|Romance,1997
Rollercoaster Ride,Folk|Romance|HeavyMetal,2008
Turning Away,Love|Base,1999
Metal from Hell   22nd Century,Love|Jazz|Hate|Folk|Rock|Rap-Comb,1997
The Girl I Find  LP Version ,Love|Jazz|HeavyMetal,1997
Panda Bear,Love|Bass|HeavyMetal,2007
Drifting From Town To Town,Classic|Musical,2006
Negativ Song,Folk|Romance,2006
The Lords Prayer,Art|Hate|Rock|Musical,1997
Nubia  LP Version ,Love|Jazz|Folk|Romance,1997
Blake's Worried Blues,Love|Classic|Western,1997
You're My World,Base|HeavyMetal,1997
Ojos Gitanos,Documentary,1991
Mira Nina,Love|Jazz|Hate|Rock,1997
Solamente Una Vez,Folk|Classic,1997
Zolte Slonie,Classic|Romance,2006
Sahti Waari,Folk,2004
Nina Nina,Folk|Classic,2006
Only Do for Love,Folk|Classic,1997
Arrival,Folk|Classic,1997
Las Murallas De JericA3,Classic,1997
Megatrend,Folk|Classic,1997
In The Name of the Father,Hate|Folk,1997
I Can't Tame Wild Women,Jazz|Hate|Classic,1997
A Somber Wind from a Distant Shore  Album ,Base|HeavyMetal,1997
Little Timmy,Classic,1997
Erica,Documentary,1997
Marcando El Ritmo Al Caminar,Folk|Classic,1997
To Agalma,Folk,1997
Damisela Encantadora,Hate|Folk,1997
You Are My Memoir,Folk|Classic|Rock|Romance|HeavyMetal,2007
Donizetti: Roberto Devereux: L'ore trascorrono   ,Jazz|Hate|Folk|Musical,1997
Pienso En Ti,Love|Rap-Comb,1995
This Time I'll Be Sweeter,Jazz|Classic|Western,1997
Bus Station Blues  Live ,Love|Base|HeavyMetal,1997
Mr  Prime Minister,Base|Solo|HeavyMetal,2005
I Love You And You Love Me,Art|Hate|Classic|Rock|Musical,1997
A New Hope,Art|Hate|Rock|Musical|Romance|IMAX,1997
Como La Flor  2005 Re mastering   Live ,Art|Hate|Rock|Musical,1997
Ponto,Folk|Romance,1997
Great Is Thy Faithfulness,Jazz|Western,1997
Party In The Burbs,Love|Folk|Base,1997
Compulsory Resurrection,Documentary,2008
Lobotomy,Classic|Romance,1997
The tears I cried,Rock|Solo,1997
Party Til The Cows Come Home,Folk|Base|Classic|HeavyMetal,2005
Don't Cry_ Joe,Jazz|Hate,1997
La Excursion,Love|Jazz|Solo|Rap-Comb,1997
Big Balls And Cow Town,Love|Solo|Rap-Comb,1997
Lie Down And Be Counted  2007 Digital Remaster ,Folk,1997
Your Amazing Grace  feat  Raul MidA3n ,Classic|Romance,1997
Into A Swan,Folk|Classic,2007
To The Stars,Art|Hate,1997
The Joes Mobilize,Folk|Classic,2009
I Got To Quit My Baby,Folk|Romance,1997
So Unhappy,Folk,2004
San Cristobal,Folk,2001
Kashmiri Love Song,Classic|HeavyMetal,1992
Marca de Amor NAPSo Sai,Base|Classic|Bass|HeavyMetal,1997
Ammonite,Jazz|Hate|Rock|Musical|Romance,2009
If I Ruled The World,Classic|War,2004
The Sweep,Folk,1997
Wake Me Up When September Ends  Live at Foxboro_ MA 9 3 05 ,Folk,2005
I Love You,Folk|Classic,1997
This Christmas  LP Version ,Classic,1997
Curvy Cola Bottle Body,Folk,1997
VolcA!n,Romance,2009
Alkohol,Folk|Classic,1997
Heart it Races  Frank Tetaz Remix ,Classic|HeavyMetal,1997
Very Well,Classic,1979
Village Attack  The Arrest,Love|Base|Classic|War,1993
Lesson Learned,Love|Jazz|Bass|HeavyMetal,2009
 I Heard That  Lonesome Whistle,Folk|Classic,1995
Here Comes The Hotstepper,Classic,1995
Almost Genuine,Love|Jazz|Rock,1997
Can't Shake That Girl,Folk,1997
What You Deserve  Album Version ,Jazz|Hate|Rock|Musical,2006
Es dificil,HeavyMetal,1997
The Sweetest Curse,Folk,2009
We're Back,Folk|Classic|War,2003
Talk Like POP,Love,1997
Fuego Caliente,Classic,1997
Un Tipo Como Yo,Classic,1999
The Thrill Is Gone,Folk|Rap-Comb,1994
Slave To The Wage,Jazz|Rap-Comb,2000
Hit The Lights,Jazz|Folk|Rap-Comb,1982
Cancion Para Mi Muerte,Classic|HeavyMetal,1997
Have You Seen Her,Classic,1997
Don't Tell Me,Classic|Bass|Romance|Rap-Comb|HeavyMetal,1997
Karuna,Classic,1997
Lil Mama Getdown,Love|Jazz|Folk|War,1997
Closing Scene,Folk|Romance,2007
Get It For Free,Love|Rap-Comb|HeavyMetal,1999
Feelings,Love|Base|Classic,2005
If You Love Me,Bass|HeavyMetal,2003
Still There For Me,Classic|Romance,2006
Allein,Classic,1997
Doctor Of Hearts  Album Version ,Folk,1997
La Vida En Rosa,Classic,1997
Crying Time,Love|Jazz,1974
You Can Always Come Home,Classic,1997
Little Bitty Pretty One,Base|Classic|HeavyMetal,1997
Shooting Stars,Folk|Romance,2003
The Cookie Bakers of the Night,Jazz|Hate|Folk|Musical,2001
Whip It,Folk,1997
The Blessing,Jazz|Hate,1997
Citizen Of The Planet,Classic|Bass|Western,2004
Love Me Now  Rockwilder Remix   Feat  Wyclef And Redman ,Classic|Romance,1997
Something For The Pain,Folk|Rock|Rap-Comb,2002
Everyone_ Everywhere_ Everytime,Folk,1997
This Is NOT a Crass Song,Jazz|Folk,1999
Soul Searcher,Documentary,1997
Skeletons  Live Acoustic Version ,Classic|Rock|Solo|HeavyMetal,1997
Imagination,Folk,2005
Flashflood,Classic,2001
What To Do Crying Waiting Hoping Learning The Game,Folk,1997
El niA+ o de la calle,Base|HeavyMetal,1997
Old Times Sake,Love|Jazz|HeavyMetal,2005
Wasted Love,Solo,1997
Eleanor Put Your Boots On,Love|Jazz|Romance|HeavyMetal,2005
Ass Attack  Four Tet Remix ,Love|Rap-Comb,2004
Canta Brasil,Art|Rap-Comb,1981
Sally In the Garden,Solo|HeavyMetal,2008
Steamroller Blues,Folk,1997
Heute,Art|Hate|Folk,1997
A Day In The Life  Album Version ,Folk,1997
Sous la Tour Eiffel,Love|Rap-Comb|HeavyMetal,1997
Falling Bombs,Folk|War,2003
Sometimes,Classic,1997
Wa'ahila  Instrumental   Bonus Track ,Documentary,1997
Drive In Saturday    Tribute to David Bowie ,Classic|War,1997
My Life Would Suck Without You,Love|Jazz,2009
Bed Crumbs,Folk|Base,1991
J'l'ai pas dit,Classic|Romance,1997
I'm Just Wonderin' Part 2,Folk|Classic,1997
No More Blues  Chega de Saudade ,Classic,1992
Wave,Classic,2002
What'd I Say,Solo|Bass,2001
Ja  Hanno's Poppersmonstermix ,Folk|Base|Classic,2007
Time to come true,Classic|Romance,1997
Whatever's Cool With Me  LP Version ,Love|Jazz|Rap-Comb|HeavyMetal,1991
Winter  Four Seasons ,Classic,1997
Hallelujah,Classic|HeavyMetal,1997
